id,reviews_total,positive_pct
AV13O1A8GV-KLJ3akUyj,1,1.0
AV14LG0R-jtxr-f38QfS,2,1.0
AV16khLE-jtxr-f38VFn,25,0.6
AV1YGDqsGV-KLJ3adc-O,323,0.9164086687306502
AV1YIch7GV-KLJ3addeG,1,1.0
AV1YlENIglJLPUi8IHsX,16,1.0
AV1YmBrdGV-KLJ3adewb,17,1.0
AV1YmDL9vKc47QAVgr7_,81,0.9629629629629629
AV1Ymf_rglJLPUi8II2v,34,1.0
AV1Yn94nvKc47QAVgtst,25,1.0
AV1YnUMYglJLPUi8IJpK,1,1.0
AV1Ynb3bglJLPUi8IJxJ,5,1.0
AV1YneDPglJLPUi8IJyQ,33,1.0
AV1Yo6FPglJLPUi8IK3u,1,1.0
AV1YpiJvvKc47QAVguxy,1,1.0
AV1YqAaMGV-KLJ3adiDj,13,1.0
AV1Ys0kTvKc47QAVgx1C,18,1.0
AV1YtGjdglJLPUi8IOfJ,66,0.9393939393939394
AV1ZSp2uglJLPUi8IQFy,7,1.0
AV1ZT7GLglJLPUi8IQLI,50,0.82
AV1ZVIgy-jtxr-f31W9N,9,1.0
AV1d76w7vKc47QAVhCqn,6,1.0
AV1h6Gu0glJLPUi8IjA_,12,0.9166666666666666
AV1h6gSl-jtxr-f31p40,4,1.0
AV1l8zRZvKc47QAVhnAv,605,0.9867768595041322
AV2AvGnjGV-KLJ3alTQH,1,1.0
AV2Avn5dGV-KLJ3alTjq,1,1.0
AV2BOOWS-jtxr-f39GPS,1,1.0
AVpe-M4-ilAPnD_xSF1K,2,1.0
AVpe-PJnLJeJML43ziaj,9,1.0
AVpe-YAL1cnluZ0-bHGh,1,1.0
AVpe-ltS1cnluZ0-bL8w,6,1.0
AVpe31o71cnluZ0-YrSD,219,0.9817351598173516
AVpe38Uy1cnluZ0-YuJR,7,0.8571428571428571
AVpe3_ikilAPnD_xPykq,3,1.0
AVpe4-GPLJeJML43xmuY,1,1.0
AVpe41TqilAPnD_xQH3d,660,0.990909090909091
AVpe4Bq81cnluZ0-YwTN,1,1.0
AVpe4hE0ilAPnD_xQABx,1,1.0
AVpe4hlXLJeJML43xbrB,21,1.0
AVpe59io1cnluZ0-ZgDU,614,0.988599348534202
AVpe5AMsLJeJML43xnku,2,1.0
AVpe5JOgilAPnD_xQPfE,36,0.9722222222222222
AVpe5WElLJeJML43xv4b,1,1.0
AVpe5c23LJeJML43xybi,28,0.9285714285714286
AVpe5s3RLJeJML43x4eA,123,0.975609756097561
AVpe5ttZLJeJML43x4yO,1,1.0
AVpe625_ilAPnD_xQ4SP,1,0.0
AVpe6C3WLJeJML43yApY,1,1.0
AVpe6CHv1cnluZ0-ZhwN,15,1.0
AVpe6FfKilAPnD_xQmHi,27,1.0
AVpe6FpaLJeJML43yBuP,68,0.9852941176470589
AVpe6PCDLJeJML43yFQH,5,1.0
AVpe6_VI1cnluZ0-Z4do,1,1.0
AVpe6n2_LJeJML43yOgE,57,0.9122807017543859
AVpe71Vk1cnluZ0-aL_Z,11,1.0
AVpe78stLJeJML43ytOY,18,0.8888888888888888
AVpe7GIELJeJML43yZfu,14,1.0
AVpe7JTHilAPnD_xQ_Cl,1,1.0
AVpe7jB8LJeJML43yj91,6,1.0
AVpe7sl91cnluZ0-aI1Y,40,1.0
AVpe7tA31cnluZ0-aI-r,8,1.0
AVpe7zdzLJeJML43yp3d,22,1.0
AVpe8dHWLJeJML43y4uG,13,1.0
AVpe8gsILJeJML43y6Ed,285,1.0
AVpe8xjUilAPnD_xRkxC,15,1.0
AVpe9W4D1cnluZ0-avf0,325,0.9661538461538461
AVpe9vHs1cnluZ0-a4TU,5,0.8
AVpe_5U_ilAPnD_xSrxG,2,1.0
AVpe_N91LJeJML43z4jD,10,0.9
AVpe_dxlilAPnD_xSiHI,2,1.0
AVpe_pDG1cnluZ0-bjSf,2,1.0
AVpe_y-I1cnluZ0-bmvh,61,1.0
AVpf--o9LJeJML43G_Fq,91,0.967032967032967
AVpf-GsfLJeJML43GxG4,4,1.0
AVpf-lMV1cnluZ0-ub0_,4,1.0
AVpf0O60ilAPnD_xizE6,22,1.0
AVpf0YhQLJeJML43ETff,34,1.0
AVpf0eb2LJeJML43EVSt,822,0.9963503649635036
AVpf0kZFilAPnD_xi5QZ,4,1.0
AVpf0pfrilAPnD_xi6s_,5,1.0
AVpf0thK1cnluZ0-r8vR,134,0.9776119402985075
AVpf2tw1ilAPnD_xjflC,650,0.9969230769230769
AVpf385g1cnluZ0-s0_t,181,0.9834254143646409
AVpf3VOfilAPnD_xjpun,7758,0.9990977055942253
AVpf3okQLJeJML43FMif,20,1.0
AVpf4WWN1cnluZ0-s7Wj,3,0.6666666666666666
AVpf4oLxLJeJML43FcxC,267,1.0
AVpf5FF71cnluZ0-tHAV,45,0.9777777777777777
AVpf5Z1zLJeJML43FpB-,148,0.9932432432432432
AVpf5ZcH1cnluZ0-tL9V,2,1.0
AVpf5olc1cnluZ0-tPrO,174,1.0
AVpf5ujMilAPnD_xkQVi,7,0.8571428571428571
AVpf63aJLJeJML43F__Q,851,0.9941245593419507
AVpf7HOwilAPnD_xkl3L,1,1.0
AVpf7I3i1cnluZ0-tnL6,25,1.0
AVpf7LysilAPnD_xkm9G,99,0.98989898989899
AVpf7aUAilAPnD_xkqbP,8,1.0
AVpf7fFbilAPnD_xkrmW,4,1.0
AVpf8AoBilAPnD_xkzJ2,1,1.0
AVpf99c6LJeJML43Gu3K,4,1.0
AVpf9UGp1cnluZ0-uITX,7,0.8571428571428571
AVpf9_3MLJeJML43GvdB,14,1.0
AVpf9pzn1cnluZ0-uNTM,404,0.995049504950495
AVpfA5BeLJeJML430eOi,1,1.0
AVpfAgSp1cnluZ0-b2-K,87,1.0
AVpfAkX91cnluZ0-b4d8,19,1.0
AVpfBO2vLJeJML430mGh,1,1.0
AVpfBSJgilAPnD_xTLf3,51,1.0
AVpfBU2S1cnluZ0-cJsO,37,1.0
AVpfBpnEilAPnD_xTUBx,11,1.0
AVpfBrUZilAPnD_xTUly,150,1.0
AVpfBuqY1cnluZ0-cTBI,1,1.0
AVpfBwE4ilAPnD_xTWO1,2,1.0
AVpfCi3kilAPnD_xTn3k,7,1.0
AVpfCjEEilAPnD_xTn75,15,1.0
AVpfCuzrilAPnD_xTroT,20,1.0
AVpfCvKt1cnluZ0-cpI2,3,1.0
AVpfCy9b1cnluZ0-cqWS,3,1.0
AVpfD9xTLJeJML431ig2,123,1.0
AVpfDA6wilAPnD_xTxdg,6,0.8333333333333334
AVpfDI3xilAPnD_xTz-k,8,0.875
AVpfD_NRilAPnD_xUG56,2,1.0
AVpfDbSP1cnluZ0-c3wo,1,1.0
AVpfDflP1cnluZ0-c5RJ,1,0.0
AVpfDiTDLJeJML431Y21,4,1.0
AVpfE5UF1cnluZ0-dY1N,2,1.0
AVpfE7puilAPnD_xUcCW,4,1.0
AVpfELcXLJeJML431naf,6,0.8333333333333334
AVpfEqFbilAPnD_xUV28,3,1.0
AVpfEqruilAPnD_xUWDr,10,1.0
AVpfErGsLJeJML431yRX,1,1.0
AVpfFTpK1cnluZ0-diMS,3,1.0
AVpfFs_1ilAPnD_xUtRm,7,1.0
AVpfFymYilAPnD_xUvMh,4,1.0
AVpfGTRQLJeJML432WYA,8,1.0
AVpfG_ujilAPnD_xVI8L,8,1.0
AVpfGuDrLJeJML432fDz,29,0.9655172413793104
AVpfH2Rx1cnluZ0-eYtu,3,1.0
AVpfHI2filAPnD_xVL7R,25,0.8
AVpfHf4wLJeJML432vqK,9,1.0
AVpfIGFeLJeJML4328YR,5,1.0
AVpfIOoV1cnluZ0-ehGp,5,1.0
AVpfIvbgLJeJML433Kph,20,1.0
AVpfJCq51cnluZ0-ey-L,8,1.0
AVpfJP1C1cnluZ0-e3Xy,1894,0.9957761351636748
AVpfJcHuLJeJML433ZrY,9,1.0
AVpfKOYiilAPnD_xWOFw,26,0.9615384615384616
AVpfKa3uilAPnD_xWSGx,1,1.0
AVpfKb8k1cnluZ0-fQdA,70,1.0
AVpfKhuv1cnluZ0-fSVr,1,1.0
AVpfL-z9ilAPnD_xWzE_,2,1.0
AVpfLnfPLJeJML434HpK,50,0.96
AVpfM_ytilAPnD_xXIJb,254,0.9881889763779528
AVpfMpZ51cnluZ0-f_L9,64,1.0
AVpfN6Z71cnluZ0-gZmO,68,0.9705882352941176
AVpfNVsj1cnluZ0-gNQN,7,1.0
AVpfNWbPilAPnD_xXPR7,27,1.0
AVpfNc9cLJeJML434tza,7,1.0
AVpfNfEMLJeJML434uf-,10,0.9
AVpfNglu1cnluZ0-gQ7x,10,1.0
AVpfO5u71cnluZ0-guiN,7,0.8571428571428571
AVpfOfIqLJeJML435D06,7,1.0
AVpfOmKwLJeJML435GM7,226,0.5575221238938053
AVpfOrD0ilAPnD_xXrRj,1,1.0
AVpfP-rELJeJML435jEN,1,1.0
AVpfPKzxLJeJML435SYL,2,1.0
AVpfPPkEilAPnD_xX3cP,264,0.8712121212121212
AVpfPaoqLJeJML435Xk9,2976,0.9926075268817204
AVpfPjqKLJeJML435aZR,4,1.0
AVpfPkrkilAPnD_xX-L9,6,1.0
AVpfPnrU1cnluZ0-g9rL,180,0.9888888888888889
AVpfPx6V1cnluZ0-hA5y,10,1.0
AVpfQtEm1cnluZ0-hUpe,27,1.0
AVpfR5m0LJeJML436K3W,194,1.0
AVpfRE4tilAPnD_xYdo_,7,1.0
AVpfRM8dLJeJML4358wT,3,1.0
AVpfRTh1ilAPnD_xYic2,1096,0.9972627737226277
AVpfRYbSilAPnD_xYkD4,21,0.9523809523809523
AVpfRkzN1cnluZ0-hmnu,2,1.0
AVpfRoqcLJeJML436FqG,94,0.9468085106382979
AVpfRxSkilAPnD_xYrzm,1,0.0
AVpfSFDo1cnluZ0-hwjT,7,1.0
AVpfSvmGilAPnD_xY_gE,8,0.875
AVpfTVkcilAPnD_xZLts,8,0.875
AVpfUCiPilAPnD_xZai4,2,1.0
AVpfUJu_ilAPnD_xZdDr,23,1.0
AVpfUN2nilAPnD_xZeY3,8,1.0
AVpfUQZjilAPnD_xZfOU,6,1.0
AVpfVMhR1cnluZ0-ixY8,4,1.0
AVpfVPh3ilAPnD_xZzW9,15,1.0
AVpfW8y_LJeJML437ySW,696,0.9956896551724138
AVpfa1joLJeJML4385hb,1,1.0
AVpfazX31cnluZ0-kbdl,198,0.9747474747474747
AVpfbjraLJeJML439F91,1,0.0
AVpfbkyr1cnluZ0-kozI,37,1.0
AVpfbpzd1cnluZ0-kqJV,1,1.0
AVpfcu821cnluZ0-k8ep,95,0.9894736842105263
AVpfdYUZilAPnD_xcHuK,36,1.0
AVpfddjcLJeJML439loo,1,1.0
AVpfe3On1cnluZ0-lgn5,22,1.0
AVpfewoLilAPnD_xcfgU,3,1.0
AVpfgvkJLJeJML43-g1y,6,1.0
AVpfh1gsilAPnD_xdX_S,1,1.0
AVpfhpNkilAPnD_xdUZz,2,1.0
AVpfi79RLJeJML43_Jo0,1,1.0
AVpfiRY_LJeJML43-8p9,2,1.0
AVpfiUrfLJeJML43-9nY,24,1.0
AVpfifml1cnluZ0-mjSb,1,1.0
AVpfjHuw1cnluZ0-mvrX,4,1.0
AVpfjauJLJeJML43_TKe,9,1.0
AVpfkIiYilAPnD_xeEjr,5,1.0
AVpfkQkcLJeJML43_kEC,3,1.0
AVpfkak01cnluZ0-nJj6,4,1.0
AVpfksililAPnD_xePx_,1,1.0
AVpfl6baLJeJML43AEQq,9,0.8888888888888888
AVpfl6sF1cnluZ0-nmwC,8,1.0
AVpflENxilAPnD_xeXFF,1,1.0
AVpfldDlLJeJML43_7s_,6,1.0
AVpfliCoilAPnD_xegIr,4,1.0
AVpfluP1ilAPnD_xejxO,22,1.0
AVpfm8yiLJeJML43AYyu,455,0.15384615384615385
AVpfmVnVLJeJML43AMqC,6,1.0
AVpfmjXGLJeJML43AQ5_,5,1.0
AVpfml2VilAPnD_xe0m6,1,1.0
AVpfnRuSilAPnD_xfB8l,33,0.8787878787878788
AVpfnS4eLJeJML43AfZe,3,1.0
AVpfnUcwLJeJML43Af2U,2,1.0
AVpfnjBILJeJML43AkO3,6,1.0
AVpfoSS51cnluZ0-oVH9,59,1.0
AVpfov9TLJeJML43A7B0,92,1.0
AVpfpM2yilAPnD_xfmDG,36,0.9722222222222222
AVpfpoUCLJeJML43BLXv,1,1.0
AVpfqW4WilAPnD_xf7a_,29,0.9655172413793104
AVpfr5cb1cnluZ0-pZFp,23,0.9565217391304348
AVpfrFDZLJeJML43Bmv0,21,1.0
AVpfrTyiLJeJML43BrSI,29,1.0
AVpfrfHF1cnluZ0-pRai,13,1.0
AVpfrgjFLJeJML43BvCc,7,1.0
AVpfs0tUilAPnD_xgqN2,2,1.0
AVpfsQoeilAPnD_xgfx5,1,1.0
AVpfshNsLJeJML43CB8q,1,1.0
AVpfthSailAPnD_xg3ON,6,1.0
AVpftikC1cnluZ0-p31V,245,0.9755102040816327
AVpftymALJeJML43CZ6y,1,1.0
AVpfv4TlilAPnD_xhjNS,2,1.0
